"filename", "language", "Groovy", "Batch", "JSON", "C++", "Markdown", "Properties", "comment", "blank", "total"
"c:\Users\Jacob\Documents\GitHub\Ten-Ton-FRC-2022\6364 Worlds\.wpilib\wpilib_preferences.json", "JSON", 0, 0, 6, 0, 0, 0, 0, 0, 6
"c:\Users\Jacob\Documents\GitHub\Ten-Ton-FRC-2022\6364 Worlds\WPILib-License.md", "Markdown", 0, 0, 0, 0, 22, 0, 0, 3, 25
"c:\Users\Jacob\Documents\GitHub\Ten-Ton-FRC-2022\6364 Worlds\build.gradle", "Groovy", 56, 0, 0, 0, 0, 0, 30, 14, 100
"c:\Users\Jacob\Documents\GitHub\Ten-Ton-FRC-2022\6364 Worlds\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 5, 0, 1, 6
"c:\Users\Jacob\Documents\GitHub\Ten-Ton-FRC-2022\6364 Worlds\gradlew.bat", "Batch", 0, 68, 0, 0, 0, 0, 0, 22, 90
"c:\Users\Jacob\Documents\GitHub\Ten-Ton-FRC-2022\6364 Worlds\settings.gradle", "Groovy", 26, 0, 0, 0, 0, 0, 0, 2, 28
"c:\Users\Jacob\Documents\GitHub\Ten-Ton-FRC-2022\6364 Worlds\src\main\cpp\Robot.cpp", "C++", 0, 0, 0, 34, 0, 0, 30, 16, 80
"c:\Users\Jacob\Documents\GitHub\Ten-Ton-FRC-2022\6364 Worlds\src\main\cpp\RobotContainer.cpp", "C++", 0, 0, 0, 35, 0, 0, 56, 15, 106
"c:\Users\Jacob\Documents\GitHub\Ten-Ton-FRC-2022\6364 Worlds\src\main\cpp\commands\AutonCommand.cpp", "C++", 0, 0, 0, 25, 0, 0, 13, 10, 48
"c:\Users\Jacob\Documents\GitHub\Ten-Ton-FRC-2022\6364 Worlds\src\main\cpp\commands\DriveCommands\DriveDist.cpp", "C++", 0, 0, 0, 27, 0, 0, 32, 15, 74
"c:\Users\Jacob\Documents\GitHub\Ten-Ton-FRC-2022\6364 Worlds\src\main\cpp\commands\DriveCommands\DriveTurn.cpp", "C++", 0, 0, 0, 16, 0, 0, 10, 5, 31
"c:\Users\Jacob\Documents\GitHub\Ten-Ton-FRC-2022\6364 Worlds\src\main\cpp\commands\DriveCommands\OpDrive.cpp", "C++", 0, 0, 0, 39, 0, 0, 26, 8, 73
"c:\Users\Jacob\Documents\GitHub\Ten-Ton-FRC-2022\6364 Worlds\src\main\cpp\commands\HangCommands\LowerRobot.cpp", "C++", 0, 0, 0, 13, 0, 0, 11, 5, 29
"c:\Users\Jacob\Documents\GitHub\Ten-Ton-FRC-2022\6364 Worlds\src\main\cpp\commands\HangCommands\PneumaticControl.cpp", "C++", 0, 0, 0, 18, 0, 0, 22, 10, 50
"c:\Users\Jacob\Documents\GitHub\Ten-Ton-FRC-2022\6364 Worlds\src\main\cpp\commands\HangCommands\WinchDown.cpp", "C++", 0, 0, 0, 26, 0, 0, 12, 7, 45
"c:\Users\Jacob\Documents\GitHub\Ten-Ton-FRC-2022\6364 Worlds\src\main\cpp\commands\IndexCommands\BackFeed.cpp", "C++", 0, 0, 0, 36, 0, 0, 15, 13, 64
"c:\Users\Jacob\Documents\GitHub\Ten-Ton-FRC-2022\6364 Worlds\src\main\cpp\commands\IndexCommands\Index.cpp", "C++", 0, 0, 0, 47, 0, 0, 10, 14, 71
"c:\Users\Jacob\Documents\GitHub\Ten-Ton-FRC-2022\6364 Worlds\src\main\cpp\commands\IndexCommands\ShootHigh.cpp", "C++", 0, 0, 0, 30, 0, 0, 13, 10, 53
"c:\Users\Jacob\Documents\GitHub\Ten-Ton-FRC-2022\6364 Worlds\src\main\cpp\commands\IndexCommands\ShootLow.cpp", "C++", 0, 0, 0, 27, 0, 0, 8, 9, 44
"c:\Users\Jacob\Documents\GitHub\Ten-Ton-FRC-2022\6364 Worlds\src\main\cpp\commands\IndexCommands\Stop.cpp", "C++", 0, 0, 0, 12, 0, 0, 17, 7, 36
"c:\Users\Jacob\Documents\GitHub\Ten-Ton-FRC-2022\6364 Worlds\src\main\cpp\commands\IntakeCommands\Intake.cpp", "C++", 0, 0, 0, 27, 0, 0, 9, 4, 40
"c:\Users\Jacob\Documents\GitHub\Ten-Ton-FRC-2022\6364 Worlds\src\main\cpp\commands\IntakeCommands\OpIntake.cpp", "C++", 0, 0, 0, 55, 0, 0, 3, 11, 69
"c:\Users\Jacob\Documents\GitHub\Ten-Ton-FRC-2022\6364 Worlds\src\main\cpp\subsystems\ClawSubsystem.cpp", "C++", 0, 0, 0, 37, 0, 0, 4, 13, 54
"c:\Users\Jacob\Documents\GitHub\Ten-Ton-FRC-2022\6364 Worlds\src\main\cpp\subsystems\DriveSubsystem.cpp", "C++", 0, 0, 0, 76, 0, 0, 15, 19, 110
"c:\Users\Jacob\Documents\GitHub\Ten-Ton-FRC-2022\6364 Worlds\src\main\cpp\subsystems\IndexSubsystem.cpp", "C++", 0, 0, 0, 61, 0, 0, 34, 18, 113
"c:\Users\Jacob\Documents\GitHub\Ten-Ton-FRC-2022\6364 Worlds\src\main\cpp\subsystems\IntakeSubsystem.cpp", "C++", 0, 0, 0, 51, 0, 0, 14, 14, 79
"c:\Users\Jacob\Documents\GitHub\Ten-Ton-FRC-2022\6364 Worlds\src\main\cpp\subsystems\WinchSubsystem.cpp", "C++", 0, 0, 0, 44, 0, 0, 3, 14, 61
"c:\Users\Jacob\Documents\GitHub\Ten-Ton-FRC-2022\6364 Worlds\src\main\cpp\tools\Motors.cpp", "C++", 0, 0, 0, 168, 0, 0, 54, 56, 278
"c:\Users\Jacob\Documents\GitHub\Ten-Ton-FRC-2022\6364 Worlds\src\main\cpp\tools\Tools.cpp", "C++", 0, 0, 0, 12, 0, 0, 0, 4, 16
"c:\Users\Jacob\Documents\GitHub\Ten-Ton-FRC-2022\6364 Worlds\src\main\include\Constants.h", "C++", 0, 0, 0, 50, 0, 0, 51, 30, 131
"c:\Users\Jacob\Documents\GitHub\Ten-Ton-FRC-2022\6364 Worlds\src\main\include\Robot.h", "C++", 0, 0, 0, 19, 0, 0, 5, 7, 31
"c:\Users\Jacob\Documents\GitHub\Ten-Ton-FRC-2022\6364 Worlds\src\main\include\RobotContainer.h", "C++", 0, 0, 0, 39, 0, 0, 28, 20, 87
"c:\Users\Jacob\Documents\GitHub\Ten-Ton-FRC-2022\6364 Worlds\src\main\include\commands\AutonCommand.hpp", "C++", 0, 0, 0, 12, 0, 0, 8, 4, 24
"c:\Users\Jacob\Documents\GitHub\Ten-Ton-FRC-2022\6364 Worlds\src\main\include\commands\DriveCommands\DriveDist.hpp", "C++", 0, 0, 0, 21, 0, 0, 35, 13, 69
"c:\Users\Jacob\Documents\GitHub\Ten-Ton-FRC-2022\6364 Worlds\src\main\include\commands\DriveCommands\DriveTurn.hpp", "C++", 0, 0, 0, 14, 0, 0, 3, 7, 24
"c:\Users\Jacob\Documents\GitHub\Ten-Ton-FRC-2022\6364 Worlds\src\main\include\commands\DriveCommands\OpDrive.hpp", "C++", 0, 0, 0, 15, 0, 0, 15, 6, 36
"c:\Users\Jacob\Documents\GitHub\Ten-Ton-FRC-2022\6364 Worlds\src\main\include\commands\HangCommands\LowerRobot.hpp", "C++", 0, 0, 0, 17, 0, 0, 28, 10, 55
"c:\Users\Jacob\Documents\GitHub\Ten-Ton-FRC-2022\6364 Worlds\src\main\include\commands\HangCommands\PneumaticControl.hpp", "C++", 0, 0, 0, 17, 0, 0, 29, 9, 55
"c:\Users\Jacob\Documents\GitHub\Ten-Ton-FRC-2022\6364 Worlds\src\main\include\commands\HangCommands\WinchDown.hpp", "C++", 0, 0, 0, 18, 0, 0, 28, 11, 57
"c:\Users\Jacob\Documents\GitHub\Ten-Ton-FRC-2022\6364 Worlds\src\main\include\commands\IndexCommands\BackFeed.hpp", "C++", 0, 0, 0, 19, 0, 0, 25, 8, 52
"c:\Users\Jacob\Documents\GitHub\Ten-Ton-FRC-2022\6364 Worlds\src\main\include\commands\IndexCommands\Index.hpp", "C++", 0, 0, 0, 19, 0, 0, 27, 11, 57
"c:\Users\Jacob\Documents\GitHub\Ten-Ton-FRC-2022\6364 Worlds\src\main\include\commands\IndexCommands\ShootHigh.hpp", "C++", 0, 0, 0, 20, 0, 0, 24, 7, 51
"c:\Users\Jacob\Documents\GitHub\Ten-Ton-FRC-2022\6364 Worlds\src\main\include\commands\IndexCommands\ShootLow.hpp", "C++", 0, 0, 0, 19, 0, 0, 18, 10, 47
"c:\Users\Jacob\Documents\GitHub\Ten-Ton-FRC-2022\6364 Worlds\src\main\include\commands\IndexCommands\Stop.hpp", "C++", 0, 0, 0, 17, 0, 0, 19, 7, 43
"c:\Users\Jacob\Documents\GitHub\Ten-Ton-FRC-2022\6364 Worlds\src\main\include\commands\IntakeCommands\Intake.hpp", "C++", 0, 0, 0, 17, 0, 0, 27, 9, 53
"c:\Users\Jacob\Documents\GitHub\Ten-Ton-FRC-2022\6364 Worlds\src\main\include\commands\IntakeCommands\OpIntake.hpp", "C++", 0, 0, 0, 17, 0, 0, 39, 10, 66
"c:\Users\Jacob\Documents\GitHub\Ten-Ton-FRC-2022\6364 Worlds\src\main\include\subsystems\ClawSubsystem.hpp", "C++", 0, 0, 0, 21, 0, 0, 51, 15, 87
"c:\Users\Jacob\Documents\GitHub\Ten-Ton-FRC-2022\6364 Worlds\src\main\include\subsystems\DriveSubsystem.hpp", "C++", 0, 0, 0, 33, 0, 0, 77, 22, 132
"c:\Users\Jacob\Documents\GitHub\Ten-Ton-FRC-2022\6364 Worlds\src\main\include\subsystems\IndexSubsystem.hpp", "C++", 0, 0, 0, 32, 0, 0, 83, 27, 142
"c:\Users\Jacob\Documents\GitHub\Ten-Ton-FRC-2022\6364 Worlds\src\main\include\subsystems\IntakeSubsystem.hpp", "C++", 0, 0, 0, 28, 0, 0, 60, 17, 105
"c:\Users\Jacob\Documents\GitHub\Ten-Ton-FRC-2022\6364 Worlds\src\main\include\subsystems\WinchSubsystem.hpp", "C++", 0, 0, 0, 24, 0, 0, 59, 16, 99
"c:\Users\Jacob\Documents\GitHub\Ten-Ton-FRC-2022\6364 Worlds\src\main\include\tools\Motors.hpp", "C++", 0, 0, 0, 20, 0, 0, 70, 18, 108
"c:\Users\Jacob\Documents\GitHub\Ten-Ton-FRC-2022\6364 Worlds\src\main\include\tools\Tools.hh", "C++", 0, 0, 0, 10, 0, 0, 29, 5, 44
"c:\Users\Jacob\Documents\GitHub\Ten-Ton-FRC-2022\6364 Worlds\src\test\cpp\main.cpp", "C++", 0, 0, 0, 8, 0, 0, 0, 3, 11
"c:\Users\Jacob\Documents\GitHub\Ten-Ton-FRC-2022\6364 Worlds\vendordeps\Phoenix.json", "JSON", 0, 0, 257, 0, 0, 0, 0, 0, 257
"c:\Users\Jacob\Documents\GitHub\Ten-Ton-FRC-2022\6364 Worlds\vendordeps\REVLib.json", "JSON", 0, 0, 73, 0, 0, 0, 0, 0, 73
"c:\Users\Jacob\Documents\GitHub\Ten-Ton-FRC-2022\6364 Worlds\vendordeps\WPILibNewCommands.json", "JSON", 0, 0, 37, 0, 0, 0, 0, 1, 38
"c:\Users\Jacob\Documents\GitHub\Ten-Ton-FRC-2022\6364 Worlds\vendordeps\navx_frc.json", "JSON", 0, 0, 35, 0, 0, 0, 0, 0, 35
"Total", "-", 82, 68, 408, 1442, 22, 5, 1279, 642, 3948